longitude,latitude,timestamp,Taxonomic label,Nom commun
13.703612,0.931838,2026-04-15T08:39:00Z,Myrianthus,Oboba
13.703821,0.93174,2026-04-15T08:58:00Z,Elaeis guineensis,Palmier a  huile
13.703601,0.931959,2026-04-15T09:04:00Z,,Coarsa
13.703642,0.932184,2026-04-15T09:09:00Z,Antrocaryon Klaineanum,Onzabili
13.703642,0.932429,2026-04-15T09:12:00Z,Antrocaryon Klaineanum,Onzabili
13.703609,0.932541,2026-04-15T09:15:00Z,Antrocaryon Klaineanum,Onzabili
13.703896,0.933432,2026-04-15T09:28:00Z,Trichoscypha Acuminata,Amvout
13.703978,0.933241,2026-04-15T09:31:00Z,Santiria Trimera,Ebo
13.703981,0.933227,2026-04-15T09:34:00Z,piptadeniastrum africanum,Dabema
13.703953,0.933235,2026-04-15T09:35:00Z,pentaclethra  macrophylla,mubala
13.704295,0.933299,2026-04-15T09:38:00Z,Trichoscypha Acuminata,Amvout
13.704799,0.933584,2026-04-15T09:41:00Z,Trichoscypha Acuminata,Amvout
13.704726,0.933861,2026-04-15T09:43:00Z,Dacryodes Buettneri,Ozigo
13.704607,0.934002,2026-04-15T09:46:00Z,Antrocaryon Klaineanum,Onzabili
13.704494,0.933932,2026-04-15T09:48:00Z,Dacryodes Buettneri,Ozigo
13.704474,0.933915,2026-04-15T09:50:00Z,Diania cactiformis,Diania
13.704427,0.933838,2026-04-15T09:51:00Z,Diania cactiformis,Diania
13.704456,0.933736,2026-04-15T09:52:00Z,Santiria Trimera,Ebo
13.704379,0.933737,2026-04-15T09:53:00Z,Santiria Trimera,Ebo
13.704296,0.933793,2026-04-15T09:54:00Z,Santiria Trimera,Ebo
13.704321,0.934082,2026-04-15T09:56:00Z,Santiria Trimera,Ebo
13.704231,0.934067,2026-04-15T09:57:00Z,Irvineia voltae,Eveuss
13.703904,0.934228,2026-04-15T10:00:00Z,Santiria Trimera,Ebo
13.703879,0.934276,2026-04-15T10:02:00Z,Santiria Trimera,Ebo
13.703703,0.93455,2026-04-15T10:04:00Z,Santiria Trimera,Ebo
13.703674,0.934743,2026-04-15T10:07:00Z,Cylicodiscus gabunensis,Okane
13.703641,0.934683,2026-04-15T10:09:00Z,Dacryodes Buettneri,Ozigo
13.704872,0.933184,2026-04-15T10:50:00Z,Santiria Trimera,Ebo
13.704832,0.933091,2026-04-15T10:52:00Z,Uapaca guineensis,Rikio
13.705001,0.933129,2026-04-15T10:57:00Z,Uapaca guineensis,Rikio
13.704521,0.932786,2026-04-15T11:21:00Z,Trichoscypha Acuminata,Amvout
13.704407,0.932972,2026-04-15T11:23:00Z,Myrianthus,Oboba
13.7043,0.93285,2026-04-15T11:25:00Z,Santiria Trimera,Ebo
13.70422,0.932762,2026-04-15T11:27:00Z,Diania cactiformis,Diania
13.703998,0.93241,2026-04-15T11:29:00Z,Pycnanthus angolensis,Ilomba
13.704275,0.932164,2026-04-15T11:32:00Z,Antrocaryon Klaineanum,Onzabili
13.704183,0.932141,2026-04-15T11:34:00Z,Myrianthus,Oboba
13.703792,0.931451,2026-04-15T11:39:00Z,Elaeis guineensis,Palmier a  huile
13.704095,0.931367,2026-04-15T11:41:00Z,Elaeis guineensis,Palmier a  huile
