longitude,latitude,recorded_at,Taxonomic label,Nom commun
13.703612,0.931838,15/04/2026 08:39,Myrianthus,Oboba
13.703821,0.93174,15/04/2026 08:58,Elaeis guineensis,Palmier a  huile
13.703601,0.931959,15/04/2026 09:04,,Coarsa
13.703642,0.932184,15/04/2026 09:09,Antrocaryon Klaineanum,Onzabili
13.703642,0.932429,15/04/2026 09:12,Antrocaryon Klaineanum,Onzabili
13.703609,0.932541,15/04/2026 09:15,Antrocaryon Klaineanum,Onzabili
13.703896,0.933432,15/04/2026 09:28,Trichoscypha Acuminata,Amvout
13.703978,0.933241,15/04/2026 09:31,Santiria Trimera,Ebo
13.703981,0.933227,15/04/2026 09:34,piptadeniastrum africanum,Dabema
13.703953,0.933235,15/04/2026 09:35,pentaclethra  macrophylla,mubala
13.704295,0.933299,15/04/2026 09:38,Trichoscypha Acuminata,Amvout
13.704799,0.933584,15/04/2026 09:41,Trichoscypha Acuminata,Amvout
13.704726,0.933861,15/04/2026 09:43,Dacryodes Buettneri,Ozigo
13.704607,0.934002,15/04/2026 09:46,Antrocaryon Klaineanum,Onzabili
13.704494,0.933932,15/04/2026 09:48,Dacryodes Buettneri,Ozigo
13.704474,0.933915,15/04/2026 09:50,Diania cactiformis,Diania
13.704427,0.933838,15/04/2026 09:51,Diania cactiformis,Diania
13.704456,0.933736,15/04/2026 09:52,Santiria Trimera,Ebo
13.704379,0.933737,15/04/2026 09:53,Santiria Trimera,Ebo
13.704296,0.933793,15/04/2026 09:54,Santiria Trimera,Ebo
13.704321,0.934082,15/04/2026 09:56,Santiria Trimera,Ebo
13.704231,0.934067,15/04/2026 09:57,Irvineia voltae,Eveuss
13.703904,0.934228,15/04/2026 10:00,Santiria Trimera,Ebo
13.703879,0.934276,15/04/2026 10:02,Santiria Trimera,Ebo
13.703703,0.93455,15/04/2026 10:04,Santiria Trimera,Ebo
13.703674,0.934743,15/04/2026 10:07,Cylicodiscus gabunensis,Okane
13.703641,0.934683,15/04/2026 10:09,Dacryodes Buettneri,Ozigo
13.704872,0.933184,15/04/2026 10:50,Santiria Trimera,Ebo
13.704832,0.933091,15/04/2026 10:52,Uapaca guineensis,Rikio
13.705001,0.933129,15/04/2026 10:57,Uapaca guineensis,Rikio
13.704521,0.932786,15/04/2026 11:21,Trichoscypha Acuminata,Amvout
13.704407,0.932972,15/04/2026 11:23,Myrianthus,Oboba
13.7043,0.93285,15/04/2026 11:25,Santiria Trimera,Ebo
13.70422,0.932762,15/04/2026 11:27,Diania cactiformis,Diania
13.703998,0.93241,15/04/2026 11:29,Pycnanthus angolensis,Ilomba
13.704275,0.932164,15/04/2026 11:32,Antrocaryon Klaineanum,Onzabili
13.704183,0.932141,15/04/2026 11:34,Myrianthus,Oboba
13.703792,0.931451,15/04/2026 11:39,Elaeis guineensis,Palmier a  huile
13.704095,0.931367,15/04/2026 11:41,Elaeis guineensis,Palmier a  huile
